Category,City,Country,CustomerName,OrderDate,Region,Segment,ShipDate,ShipMode,ShipStatus,State,SubCategory,DaystoShipActual,DaystoShipScheduled,Discount,NumberofRecords,Profit,ProfitperOrder,ProfitRatio,Quantity,Sales,SalesForecast,SalesperCustomer,saleswodic
Furniture,Jacksonville,United States,Shahid Hopkins,11/3/2014,South,Consumer,11/7/2014,Standard Class,Shipped Early,North Carolina,Tables,4,6,0.2,1,693,693,0.55,6,1260,1415,945.04,1575
Office Supplies,Jacksonville,United States,Shahid Hopkins,11/3/2014,South,Consumer,11/7/2014,Standard Class,Shipped Early,North Carolina,Binders,4,6,0.7,1,-3,-3,-0.2,7,14,21,14.3,47
Furniture,Jacksonville,United States,Shahid Hopkins,11/3/2014,South,Consumer,11/7/2014,Standard Class,Shipped Early,North Carolina,Furnishings,4,6,0.2,1,-25,-25,-0.06,3,410,615,410.35,513
Office Supplies,Chicago,United States,Fred Chung,3/30/2015,Central,Corporate,4/4/2015,Standard Class,Shipped Early,Illinois,Paper,5,6,0.2,1,-8,-8,-0.32,5,24,35,23.52,30
Technology,Chicago,United States,Fred Chung,3/30/2015,Central,Corporate,4/4/2015,Standard Class,Shipped Early,Illinois,Phones,5,6,0.2,1,-132,-132,-0.73,5,181,271,180.96,226
Furniture,Pocatello,United States,James Galang,5/27/2017,West,Consumer,5/29/2017,First Class,Shipped Late,Idaho,Furnishings,2,1,0,1,-5,-5,-0.13,4,35,52,35,35
Office Supplies,Pocatello,United States,James Galang,5/27/2017,West,Consumer,5/29/2017,First Class,Shipped Late,Idaho,Storage,2,1,0,1,172,172,0.36,5,477,715,477.15,477
Technology,Pocatello,United States,James Galang,5/27/2017,West,Consumer,5/29/2017,First Class,Shipped Late,Idaho,Phones,2,1,0.2,1,24,24,0.08,3,302,453,302.38,378
Furniture,Plano,United States,Lena Creighton,12/14/2017,Central,Consumer,12/19/2017,Standard Class,Shipped Early,Texas,Tables,5,6,0.2,1,579,579,0.52,4,1114,1460,974.99,1393
Furniture,New York City,United States,Chris Cortes,10/4/2014,East,Consumer,10/6/2014,First Class,Shipped Late,New York,Chairs,2,1,0.1,1,35,35,0.06,5,589,883,589.41,654
Office Supplies,New York City,United States,Bart Watters,10/13/2016,East,Corporate,10/20/2016,Standard Class,Shipped Late,New York,Art,7,6,0,1,3,3,0.08,5,35,52,34.7,35
Office Supplies,New York City,United States,Bart Watters,10/13/2016,East,Corporate,10/20/2016,Standard Class,Shipped Late,New York,Storage,7,6,0,1,-10,-10,-0.1,3,100,150,99.87,100
Office Supplies,New York City,United States,Bart Watters,10/13/2016,East,Corporate,10/20/2016,Standard Class,Shipped Late,New York,Paper,7,6,0,1,0,0,-0.01,2,38,57,37.94,38
Office Supplies,New York City,United States,Bart Watters,10/13/2016,East,Corporate,10/20/2016,Standard Class,Shipped Late,New York,Labels,7,6,0,1,9,9,0.36,5,25,37,24.9,25
Furniture,New York City,United States,Bart Watters,10/13/2016,East,Corporate,10/20/2016,Standard Class,Shipped Late,New York,Furnishings,7,6,0,1,20,20,0.24,3,82,123,82.26,82
Office Supplies,Chicago,United States,Jennifer Jackson,3/5/2015,Central,Consumer,3/10/2015,Standard Class,Shipped Early,Illinois,Fasteners,5,6,0.2,1,3,3,0.48,6,7,11,7.1,9
Furniture,Houston,United States,Tonja Turnell,3/4/2017,Central,Home Office,3/6/2017,Second Class,Shipped Early,Texas,Furnishings,2,3,0.6,1,48,48,0.46,5,104,155,103.5,260
Office Supplies,Houston,United States,Tonja Turnell,3/4/2017,Central,Home Office,3/6/2017,Second Class,Shipped Early,Texas,Labels,2,3,0.2,1,1,1,0.41,1,2,4,2.46,3
Office Supplies,Houston,United States,Tonja Turnell,3/4/2017,Central,Home Office,3/6/2017,Second Class,Shipped Early,Texas,Storage,2,3,0.2,1,3,3,0.35,1,9,13,8.72,11
Office Supplies,Meriden,United States,Erica Hackney,9/25/2015,East,Consumer,9/29/2015,Standard Class,Shipped Early,Connecticut,Binders,4,6,0,1,-8,-8,-0.75,2,11,16,10.76,11
Office Supplies,Meriden,United States,Erica Hackney,9/25/2015,East,Consumer,9/29/2015,Standard Class,Shipped Early,Connecticut,Paper,4,6,0,1,16,16,0.35,2,46,68,45.68,46
Office Supplies,Meriden,United States,Erica Hackney,9/25/2015,East,Consumer,9/29/2015,Standard Class,Shipped Early,Connecticut,Art,4,6,0,1,1,1,0.08,1,7,10,6.7,7
Technology,Glenview,United States,Patrick Ryan,12/19/2015,Central,Consumer,12/23/2015,Second Class,Shipped Late,Illinois,Phones,4,3,0.2,1,76,76,0.48,3,158,237,158.38,198
Office Supplies,Houston,United States,Brian Thompson,10/8/2015,Central,Consumer,10/13/2015,Standard Class,Shipped Early,Texas,Art,5,6,0.2,1,1,1,0.46,2,3,5,3.44,4
Office Supplies,San Francisco,United States,Erin Creighton,7/31/2017,West,Consumer,8/3/2017,First Class,Shipped Late,California,Storage,3,1,0,1,19,19,0.33,2,57,85,56.56,57
Furniture,San Francisco,United States,Erin Creighton,7/31/2017,West,Consumer,8/3/2017,First Class,Shipped Late,California,Furnishings,3,1,0,1,3,3,0.09,7,37,55,36.96,37
Technology,New York City,United States,Stephanie Phelps,8/5/2014,East,Corporate,8/11/2014,Standard Class,Shipped On Time,New York,Phones,6,6,0,1,22,22,0.16,1,136,204,135.99,136
Office Supplies,New York City,United States,Stephanie Phelps,8/5/2014,East,Corporate,8/11/2014,Standard Class,Shipped On Time,New York,Art,6,6,0,1,4,4,0.27,7,16,24,15.96,16
Office Supplies,Baltimore,United States,Anthony Jacobs,5/14/2017,East,Corporate,5/17/2017,First Class,Shipped Late,Maryland,Art,3,1,0,1,1,1,0.31,2,4,6,3.76,4
Office Supplies,Baltimore,United States,Anthony Jacobs,5/14/2017,East,Corporate,5/17/2017,First Class,Shipped Late,Maryland,Art,3,1,0,1,4,4,0.27,5,15,22,14.7,15
Office Supplies,Baltimore,United States,Anthony Jacobs,5/14/2017,East,Corporate,5/17/2017,First Class,Shipped Late,Maryland,Art,3,1,0,1,16,16,0.44,5,37,56,37.2,37
Technology,Baltimore,United States,Anthony Jacobs,5/14/2017,East,Corporate,5/17/2017,First Class,Shipped Late,Maryland,Accessories,3,1,0,1,26,26,0.29,3,90,135,89.97,90
Furniture,Baltimore,United States,Anthony Jacobs,5/14/2017,East,Corporate,5/17/2017,First Class,Shipped Late,Maryland,Chairs,3,1,0,1,118,118,0.45,2,262,392,261.96,262
Office Supplies,Baltimore,United States,Anthony Jacobs,5/14/2017,East,Corporate,5/17/2017,First Class,Shipped Late,Maryland,Labels,3,1,0,1,19,19,0.25,5,74,111,74,74
Furniture,Louisville,United States,Ann Steele,9/22/2016,South,Home Office,9/28/2016,Standard Class,Shipped On Time,Kentucky,Furnishings,6,6,0,1,3,3,0.21,2,13,20,13.28,13
Office Supplies,Lebanon,United States,Allen Armold,11/13/2015,South,Consumer,11/17/2015,Standard Class,Shipped Early,Tennessee,Storage,4,6,0.2,1,8,8,0.09,6,85,127,84.96,106
Technology,Los Angeles,United States,Eric Hoffmann,5/22/2017,West,Consumer,5/25/2017,Second Class,Shipped On Time,California,Accessories,3,3,0,1,34,34,0.5,7,68,103,68.46,68
Office Supplies,Providence,United States,Deborah Brumfield,12/2/2016,East,Home Office,12/8/2016,Standard Class,Shipped On Time,Rhode Island,Storage,6,6,0,1,998,998,0.48,5,2079,3114,2079.4,2079
Technology,Providence,United States,Deborah Brumfield,12/2/2016,East,Home Office,12/8/2016,Standard Class,Shipped On Time,Rhode Island,Phones,6,6,0,1,50,50,0.08,5,630,943,629.95,630
Furniture,Providence,United States,Deborah Brumfield,12/2/2016,East,Home Office,12/8/2016,Standard Class,Shipped On Time,Rhode Island,Furnishings,6,6,0,1,27,27,0.37,6,72,108,72.42,72
Technology,Detroit,United States,Chad Cunningham,8/29/2015,Central,Home Office,9/2/2015,Standard Class,Shipped Early,Michigan,Phones,4,6,0,1,37,37,0.28,2,132,198,131.98,132
Technology,Detroit,United States,Chad Cunningham,8/29/2015,Central,Home Office,9/2/2015,Standard Class,Shipped Early,Michigan,Accessories,4,6,0,1,32,32,0.28,7,115,172,114.52,115
Office Supplies,Houston,United States,Valerie Takahito,6/6/2014,Central,Home Office,6/10/2014,Standard Class,Shipped Early,Texas,Labels,4,6,0.2,1,33,33,0.33,10,100,150,100.24,125
Office Supplies,Columbia,United States,Dave Brooks,3/18/2016,South,Consumer,3/20/2016,Second Class,Shipped Early,Tennessee,Appliances,2,3,0.2,1,235,235,0.27,3,872,1306,871.8,1090
Furniture,Philadelphia,United States,Brendan Sweed,1/14/2014,East,Corporate,1/15/2014,First Class,Shipped On Time,Pennsylvania,Bookcases,1,1,0.15,1,47,47,0.45,4,105,93,61.96,124
Office Supplies,Pembroke Pines,United States,Nick Radford,6/3/2017,South,Consumer,6/10/2017,Standard Class,Shipped Late,Florida,Binders,7,6,0.7,1,2,2,0.34,3,5,7,4.55,17
Office Supplies,Pembroke Pines,United States,Nick Radford,6/3/2017,South,Consumer,6/10/2017,Standard Class,Shipped Late,Florida,Appliances,7,6,0.2,1,1,1,0.1,2,5,8,5.2,6
Technology,Pembroke Pines,United States,Nick Radford,6/3/2017,South,Consumer,6/10/2017,Standard Class,Shipped Late,Florida,Accessories,7,6,0.2,1,-177,-177,-0.86,1,206,308,205.99,258
Office Supplies,Pembroke Pines,United States,Nick Radford,6/3/2017,South,Consumer,6/10/2017,Standard Class,Shipped Late,Florida,Paper,7,6,0.2,1,-12,-12,-0.77,3,16,23,15.55,20
Technology,Pembroke Pines,United States,Nick Radford,6/3/2017,South,Consumer,6/10/2017,Standard Class,Shipped Late,Florida,Phones,7,6,0.2,1,55,55,0.11,5,504,755,503.96,630
Office Supplies,Pembroke Pines,United States,Nick Radford,6/3/2017,South,Consumer,6/10/2017,Standard Class,Shipped Late,Florida,Appliances,7,6,0.2,1,0,0,-0.01,7,24,37,24.47,30
Furniture,Pembroke Pines,United States,Nick Radford,6/3/2017,South,Consumer,6/10/2017,Standard Class,Shipped Late,Florida,Bookcases,7,6,0.15,1,103,103,0.4,2,257,362,241.57,303
Technology,Pembroke Pines,United States,Nick Radford,6/3/2017,South,Consumer,6/10/2017,Standard Class,Shipped Late,Florida,Accessories,7,6,0.2,1,11,11,0.1,2,110,165,110.4,138
Furniture,New York City,United States,Katherine Nockton,6/3/2017,East,Corporate,6/9/2017,Standard Class,Shipped On Time,New York,Tables,6,6,0.2,1,144,144,0.28,2,513,576,384.77,642
Technology,New York City,United States,Katherine Nockton,6/3/2017,East,Corporate,6/9/2017,Standard Class,Shipped On Time,New York,Machines,6,6,0,1,0,0,0,6,79,118,78.66,79
Office Supplies,New York City,United States,Katherine Nockton,6/3/2017,East,Corporate,6/9/2017,Standard Class,Shipped On Time,New York,Paper,6,6,0,1,-2,-2,-0.04,4,45,68,45.36,45
Office Supplies,Jacksonville,United States,Julia West,3/21/2015,South,Consumer,3/26/2015,Standard Class,Shipped Early,North Carolina,Appliances,5,6,0.2,1,-289,-289,-0.3,4,962,1441,962.08,1203
Office Supplies,Jacksonville,United States,Julia West,3/21/2015,South,Consumer,3/26/2015,Standard Class,Shipped Early,North Carolina,Binders,5,6,0.7,1,6,6,0.46,3,13,19,12.84,43
Office Supplies,Jacksonville,United States,Julia West,3/21/2015,South,Consumer,3/26/2015,Standard Class,Shipped Early,North Carolina,Paper,5,6,0.2,1,145,145,0.49,14,295,442,295.46,369
Office Supplies,New York City,United States,Jessica Myrick,9/19/2017,East,Consumer,9/24/2017,Standard Class,Shipped Early,New York,Paper,5,6,0,1,5,5,0.16,5,32,49,32.4,32
Furniture,Philadelphia,United States,Monica Federle,9/15/2014,East,Corporate,9/19/2014,Standard Class,Shipped Early,Pennsylvania,Furnishings,4,6,0.2,1,-80,-80,-0.77,4,104,156,103.94,130
Furniture,Orlando,United States,Frank Atkinson,11/20/2016,South,Corporate,11/25/2016,Standard Class,Shipped Early,Florida,Bookcases,5,6,0.15,1,117,117,0.38,2,308,434,289.57,363
Office Supplies,Orlando,United States,Frank Atkinson,11/20/2016,South,Corporate,11/25/2016,Standard Class,Shipped Early,Florida,Storage,5,6,0.2,1,19,19,0.48,5,40,59,39.72,50
Technology,Orlando,United States,Frank Atkinson,11/20/2016,South,Corporate,11/25/2016,Standard Class,Shipped Early,Florida,Phones,5,6,0.2,1,39,39,0.16,4,245,367,244.77,306
Technology,Houston,United States,Keith Herrera,10/28/2017,Central,Consumer,11/1/2017,Second Class,Shipped Late,Texas,Accessories,4,3,0.2,1,1,1,0.04,2,24,36,24,30
Office Supplies,Houston,United States,Keith Herrera,10/28/2017,Central,Consumer,11/1/2017,Second Class,Shipped Late,Texas,Paper,4,3,0.2,1,2,2,0.11,3,16,23,15.55,20
Technology,Houston,United States,Keith Herrera,10/28/2017,Central,Consumer,11/1/2017,Second Class,Shipped Late,Texas,Accessories,4,3,0.2,1,3,3,0.1,2,26,39,26.18,33
Furniture,Louisville,United States,Shirley Schmidt,7/24/2015,South,Home Office,7/28/2015,Standard Class,Shipped Early,Kentucky,Furnishings,4,6,0,1,-2,-2,-0.11,3,21,31,20.94,21
Office Supplies,Louisville,United States,Shirley Schmidt,7/24/2015,South,Home Office,7/28/2015,Standard Class,Shipped Early,Kentucky,Binders,4,6,0,1,47,47,0.35,9,135,202,135.09,135
Technology,Louisville,United States,Shirley Schmidt,7/24/2015,South,Home Office,7/28/2015,Standard Class,Shipped Early,Kentucky,Accessories,4,6,0,1,-36,-36,-0.13,14,280,419,279.86,280
Office Supplies,Louisville,United States,Shirley Schmidt,7/24/2015,South,Home Office,7/28/2015,Standard Class,Shipped Early,Kentucky,Binders,4,6,0,1,26,26,0.29,6,90,135,90.06,90
Technology,Medina,United States,Liz Carlisle,11/2/2014,East,Consumer,11/6/2014,Standard Class,Shipped Early,Ohio,Phones,4,6,0.4,1,248,248,0.46,6,540,809,539.96,900
Technology,Medina,United States,Liz Carlisle,11/2/2014,East,Consumer,11/6/2014,Standard Class,Shipped Early,Ohio,Phones,4,6,0.4,1,12,12,0.23,7,50,75,50.23,83
Office Supplies,Medina,United States,Liz Carlisle,11/2/2014,East,Consumer,11/6/2014,Standard Class,Shipped Early,Ohio,Binders,4,6,0.7,1,9,9,0.46,3,19,29,19.24,63
Office Supplies,New York City,United States,Victoria Wilson,11/17/2017,East,Corporate,11/22/2017,Second Class,Shipped Late,New York,Storage,5,3,0,1,-250,-250,-0.2,3,1248,1868,1247.64,1248
Office Supplies,Chicago,United States,Lela Donovan,6/26/2016,Central,Corporate,6/30/2016,Standard Class,Shipped Early,Illinois,Art,4,6,0.2,1,-1,-1,-0.2,3,5,8,5.3,6
Office Supplies,Philadelphia,United States,Sibella Parks,10/9/2016,East,Corporate,10/11/2016,Second Class,Shipped Early,Pennsylvania,Paper,2,3,0.2,1,-13,-13,-0.7,4,19,29,19.14,24
Furniture,Philadelphia,United States,Sibella Parks,10/9/2016,East,Corporate,10/11/2016,Second Class,Shipped Early,Pennsylvania,Furnishings,2,3,0.2,1,93,93,0.28,4,333,498,332.83,416
Office Supplies,New York City,United States,David Kendrick,12/20/2017,East,Corporate,12/26/2017,Standard Class,Shipped On Time,New York,Paper,6,6,0,1,25,25,0.09,5,280,419,279.9,280
Office Supplies,New York City,United States,David Kendrick,12/20/2017,East,Corporate,12/26/2017,Standard Class,Shipped On Time,New York,Binders,6,6,0.2,1,16,16,0.31,3,50,75,50.35,63
Office Supplies,New York City,United States,David Kendrick,12/20/2017,East,Corporate,12/26/2017,Standard Class,Shipped On Time,New York,Paper,6,6,0,1,-3,-3,-0.08,3,34,51,34.02,34
Office Supplies,San Francisco,United States,Frank Carlisle,3/6/2017,West,Home Office,3/10/2017,Standard Class,Shipped Early,California,Art,4,6,0,1,12,12,0.49,6,24,36,23.88,24
Office Supplies,San Francisco,United States,Frank Carlisle,3/6/2017,West,Home Office,3/10/2017,Standard Class,Shipped Early,California,Labels,4,6,0,1,4,4,0.35,4,12,17,11.52,12
Office Supplies,San Francisco,United States,Frank Carlisle,3/6/2017,West,Home Office,3/10/2017,Standard Class,Shipped Early,California,Paper,4,6,0,1,141,141,0.49,7,287,430,286.93,287
Technology,San Francisco,United States,Frank Carlisle,3/6/2017,West,Home Office,3/10/2017,Standard Class,Shipped Early,California,Phones,4,6,0.2,1,70,70,0.34,2,206,309,206.38,258
Furniture,San Francisco,United States,Rick Duston,9/15/2017,West,Consumer,9/19/2017,Standard Class,Shipped Early,California,Chairs,4,6,0.2,1,107,107,0.49,3,218,327,218.35,273
Furniture,San Francisco,United States,Rick Duston,9/15/2017,West,Consumer,9/19/2017,Standard Class,Shipped Early,California,Furnishings,4,6,0,1,260,260,0.49,5,530,794,529.9,530
Office Supplies,San Francisco,United States,Rick Duston,9/15/2017,West,Consumer,9/19/2017,Standard Class,Shipped Early,California,Art,4,6,0,1,11,11,0.11,10,99,149,99.3,99
Office Supplies,San Francisco,United States,Rick Duston,9/15/2017,West,Consumer,9/19/2017,Standard Class,Shipped Early,California,Appliances,4,6,0,1,0,0,0,2,109,163,108.96,109
Office Supplies,San Francisco,United States,Rick Duston,9/15/2017,West,Consumer,9/19/2017,Standard Class,Shipped Early,California,Binders,4,6,0.2,1,1,1,0.2,1,3,4,2.69,4
Office Supplies,Jackson,United States,Andy Reiter,1/16/2017,Central,Consumer,1/18/2017,Second Class,Shipped Early,Michigan,Binders,2,3,0,1,2286,2286,0.42,4,5444,8153,5443.96,5444
Furniture,Jackson,United States,Andy Reiter,1/16/2017,Central,Consumer,1/18/2017,Second Class,Shipped Early,Michigan,Chairs,2,3,0,1,85,85,0.28,3,303,453,302.67,303
Office Supplies,Jackson,United States,Andy Reiter,1/16/2017,Central,Consumer,1/18/2017,Second Class,Shipped Early,Michigan,Paper,2,3,0,1,17,17,0.31,7,56,84,56.07,56
Office Supplies,Philadelphia,United States,Chad Cunningham,7/7/2016,East,Home Office,7/13/2016,Standard Class,Shipped On Time,Pennsylvania,Labels,6,6,0.2,1,5,5,0.46,2,10,15,10.08,13
Technology,Philadelphia,United States,Chad Cunningham,7/7/2016,East,Home Office,7/13/2016,Standard Class,Shipped On Time,Pennsylvania,Phones,6,6,0.4,1,14,14,0.24,1,60,90,59.99,100
Office Supplies,Philadelphia,United States,Chad Cunningham,7/7/2016,East,Home Office,7/13/2016,Standard Class,Shipped On Time,Pennsylvania,Binders,6,6,0.7,1,3,3,0.45,5,6,9,5.72,20
Office Supplies,Philadelphia,United States,Chad Cunningham,7/7/2016,East,Home Office,7/13/2016,Standard Class,Shipped On Time,Pennsylvania,Binders,6,6,0.7,1,3,3,0.33,5,9,14,9.42,30
Technology,Warwick,United States,Carol Adams,12/23/2016,East,Corporate,12/28/2016,Second Class,Shipped Late,Rhode Island,Copiers,5,3,0,1,-440,-440,-0.22,4,2000,2995,1999.96,2000
Office Supplies,New York City,United States,Bradley Talbott,12/22/2014,East,Home Office,12/26/2014,Standard Class,Shipped Early,New York,Storage,4,6,0,1,-179,-179,-0.83,4,216,324,216.4,216
Office Supplies,El Paso,United States,Michael Grace,2/23/2014,Central,Home Office,2/27/2014,Standard Class,Shipped Early,Texas,Labels,4,6,0.2,1,-6,-6,-0.83,3,7,10,6.94,9
Office Supplies,El Paso,United States,Michael Grace,2/23/2014,Central,Home Office,2/27/2014,Standard Class,Shipped Early,Texas,Binders,4,6,0.8,1,2,2,0.45,3,4,7,4.43,20
Office Supplies,Rochester,United States,Theone Pippenger,12/4/2017,Central,Consumer,12/8/2017,Standard Class,Shipped Early,Minnesota,Art,4,6,0,1,2,2,0.26,5,9,13,8.8,9
Technology,Rochester,United States,Theone Pippenger,12/4/2017,Central,Consumer,12/8/2017,Standard Class,Shipped Early,Minnesota,Accessories,4,6,0,1,49,49,0.34,1,143,214,142.8,143
Technology,Rochester,United States,Theone Pippenger,12/4/2017,Central,Consumer,12/8/2017,Standard Class,Shipped Early,Minnesota,Accessories,4,6,0,1,-620,-620,-1.55,5,400,599,399.95,400
Office Supplies,Buffalo,United States,Greg Tran,11/17/2014,East,Consumer,11/22/2014,Standard Class,Shipped Early,New York,Binders,5,6,0.2,1,624,624,0.29,3,2153,3224,2152.78,2691
Furniture,Buffalo,United States,Greg Tran,11/17/2014,East,Consumer,11/22/2014,Standard Class,Shipped Early,New York,Bookcases,5,6,0.15,1,1107,1107,0.26,10,4259,6002,4007.84,5010
Furniture,Knoxville,United States,Fred Hopkins,10/20/2014,South,Corporate,10/23/2014,First Class,Shipped Late,Tennessee,Tables,3,1,0.2,1,246,246,0.56,3,439,492,328.59,548
Office Supplies,Knoxville,United States,Fred Hopkins,10/20/2014,South,Corporate,10/23/2014,First Class,Shipped Late,Tennessee,Storage,3,1,0.2,1,33,33,0.34,3,98,147,98.35,123
Technology,Newark,United States,Heather Kirkland,10/25/2015,East,Corporate,10/30/2015,Standard Class,Shipped Early,Delaware,Phones,5,6,0,1,-2,-2,-0.01,1,159,238,158.99,159
Furniture,Newark,United States,Heather Kirkland,10/25/2015,East,Corporate,10/30/2015,Standard Class,Shipped Early,Delaware,Chairs,5,6,0,1,-131,-131,-0.45,5,291,436,291.1,291
Office Supplies,Seattle,United States,Chris Cortes,11/16/2017,West,Consumer,11/19/2017,First Class,Shipped Late,Washington,Paper,3,1,0,1,-19,-19,-0.25,6,74,110,73.68,74
Furniture,Seattle,United States,Chris Cortes,11/16/2017,West,Consumer,11/19/2017,First Class,Shipped Late,Washington,Furnishings,3,1,0,1,36,36,0.26,2,140,210,139.92,140
Technology,Seattle,United States,Chris Cortes,11/16/2017,West,Consumer,11/19/2017,First Class,Shipped Late,Washington,Phones,3,1,0.2,1,28,28,0.26,3,108,162,107.88,135
Office Supplies,Seattle,United States,Chris Cortes,11/16/2017,West,Consumer,11/19/2017,First Class,Shipped Late,Washington,Storage,3,1,0,1,16,16,0.47,1,33,50,33.29,33
Office Supplies,Cleveland,United States,Darren Powers,5/14/2017,East,Consumer,5/18/2017,Standard Class,Shipped Early,Ohio,Binders,4,6,0.7,1,10,10,0.17,5,58,87,58.17,193
Office Supplies,Cleveland,United States,Darren Powers,5/14/2017,East,Consumer,5/18/2017,Standard Class,Shipped Early,Ohio,Labels,4,6,0.2,1,1,1,0.1,2,5,8,5.04,6
Office Supplies,Cleveland,United States,Darren Powers,5/14/2017,East,Consumer,5/18/2017,Standard Class,Shipped Early,Ohio,Paper,4,6,0.2,1,6,6,0.24,1,25,37,24.78,31
Furniture,Elmhurst,United States,Vicky Freymann,3/1/2014,Central,Home Office,3/5/2014,Standard Class,Shipped Early,Illinois,Chairs,4,6,0.3,1,-507,-507,-0.8,6,634,950,634.12,906
Office Supplies,Elmhurst,United States,Vicky Freymann,3/1/2014,Central,Home Office,3/5/2014,Standard Class,Shipped Early,Illinois,Paper,4,6,0.2,1,6,6,0.35,3,17,26,17.47,21
Furniture,Lakeville,United States,Gary Hansen,7/30/2015,Central,Home Office,8/1/2015,First Class,Shipped Late,Minnesota,Chairs,2,1,0,1,48,48,0.31,6,156,233,155.88,156
Furniture,New York City,United States,Justin Hirsh,11/1/2015,East,Consumer,11/3/2015,Second Class,Shipped Early,New York,Chairs,2,3,0.1,1,-89,-89,-0.27,4,328,491,327.56,364
Office Supplies,Los Angeles,United States,Rick Bensley,12/16/2017,West,Home Office,12/21/2017,Second Class,Shipped Late,California,Paper,5,3,0,1,4,4,0.33,2,13,20,13.36,13
Office Supplies,Los Angeles,United States,Rick Bensley,12/16/2017,West,Home Office,12/21/2017,Second Class,Shipped Late,California,Storage,5,3,0,1,40,40,0.25,5,159,238,158.9,159
Technology,Chicago,United States,Lindsay Shagiari,10/20/2014,Central,Home Office,10/22/2014,Second Class,Shipped Early,Illinois,Accessories,2,3,0.2,1,22,22,0.07,4,320,479,319.97,400
Office Supplies,Chicago,United States,Lindsay Shagiari,10/20/2014,Central,Home Office,10/22/2014,Second Class,Shipped Early,Illinois,Storage,2,3,0.2,1,242,242,0.48,3,505,757,505.32,631
Office Supplies,Chicago,United States,Lindsay Shagiari,10/20/2014,Central,Home Office,10/22/2014,Second Class,Shipped Early,Illinois,Paper,2,3,0.2,1,0,0,0.05,1,4,6,3.81,5
Office Supplies,Chicago,United States,Lindsay Shagiari,10/20/2014,Central,Home Office,10/22/2014,Second Class,Shipped Early,Illinois,Binders,2,3,0.8,1,2,2,0.23,1,9,13,8.68,45
Office Supplies,Chicago,United States,Lindsay Shagiari,10/20/2014,Central,Home Office,10/22/2014,Second Class,Shipped Early,Illinois,Labels,2,3,0.2,1,1,1,0.06,1,24,37,24.42,30
Furniture,Buffalo,United States,Edward Becker,6/5/2015,East,Corporate,6/10/2015,Standard Class,Shipped Early,New York,Chairs,5,6,0.1,1,503,503,0.33,9,1523,2280,1522.64,1692
Office Supplies,Roseville,United States,Damala Kotsonis,7/21/2016,West,Corporate,7/26/2016,Standard Class,Shipped Early,California,Envelopes,5,6,0,1,-714,-714,-1.7,5,420,629,419.9,420
Office Supplies,Roseville,United States,Damala Kotsonis,7/21/2016,West,Corporate,7/26/2016,Standard Class,Shipped Early,California,Labels,5,6,0,1,1,1,0.33,1,3,5,3.15,3
Office Supplies,Arlington,United States,Scott Cohen,3/31/2017,Central,Corporate,4/2/2017,First Class,Shipped Late,Texas,Appliances,2,1,0.8,1,4,4,0.11,5,34,50,33.62,170
Office Supplies,Lawrence,United States,Carol Triggs,5/7/2014,East,Consumer,5/12/2014,Standard Class,Shipped Early,Massachusetts,Binders,5,6,0,1,8,8,0.47,3,16,24,16.14,16
Furniture,Lawrence,United States,Carol Triggs,5/7/2014,East,Consumer,5/12/2014,Standard Class,Shipped Early,Massachusetts,Tables,5,6,0.2,1,129,129,0.58,2,222,291,194.25,277
Office Supplies,Lawrence,United States,Carol Triggs,5/7/2014,East,Consumer,5/12/2014,Standard Class,Shipped Early,Massachusetts,Art,5,6,0,1,-24,-24,-2.7,3,9,13,8.64,9
Furniture,Lawrence,United States,Carol Triggs,5/7/2014,East,Consumer,5/12/2014,Standard Class,Shipped Early,Massachusetts,Chairs,5,6,0,1,427,427,0.49,4,872,1306,872.32,872
Office Supplies,Waco,United States,Cassandra Brandow,2/5/2017,Central,Consumer,2/8/2017,Second Class,Shipped On Time,Texas,Binders,3,3,0.8,1,-49,-49,-0.2,4,244,365,243.99,1220
Office Supplies,Waco,United States,Cassandra Brandow,2/5/2017,Central,Consumer,2/8/2017,Second Class,Shipped On Time,Texas,Art,3,3,0.2,1,2,2,0.29,5,7,11,7.12,9
Office Supplies,Houston,United States,Kunst Miller,4/18/2014,Central,Consumer,4/22/2014,Standard Class,Shipped Early,Texas,Art,4,6,0.2,1,1,1,0.28,2,3,4,2.69,4
Furniture,Houston,United States,Kunst Miller,4/18/2014,Central,Consumer,4/22/2014,Standard Class,Shipped Early,Texas,Chairs,4,6,0.3,1,-555,-555,-1.75,3,317,475,317.06,453
Office Supplies,Houston,United States,Kunst Miller,4/18/2014,Central,Consumer,4/22/2014,Standard Class,Shipped Early,Texas,Envelopes,4,6,0.2,1,15,15,0.1,3,149,224,149.35,186
Technology,Houston,United States,Kunst Miller,4/18/2014,Central,Consumer,4/22/2014,Standard Class,Shipped Early,Texas,Accessories,4,6,0.2,1,87,87,0.38,3,228,341,227.98,285
Office Supplies,Seattle,United States,Roger Demir,5/10/2016,West,Consumer,5/16/2016,Standard Class,Shipped On Time,Washington,Paper,6,6,0,1,-1,-1,-0.06,2,12,18,11.96,12
Office Supplies,Plainfield,United States,Barry Pond,11/25/2016,East,Corporate,11/30/2016,Standard Class,Shipped Early,New Jersey,Storage,5,6,0,1,191,191,0.34,4,563,844,563.4,563
